ref_id_group_0,ref_id_group_1,ref_id_group_2,ref_id_group_3,ref_id_group_4,ref_id_group_5,ref_id_group_6,original_index_group_0,original_index_group_1,original_index_group_2,original_index_group_3,original_index_group_4,original_index_group_5,original_index_group_6,temperature_group_0,temperature_group_1,temperature_group_2,temperature_group_3,temperature_group_4,temperature_group_5,temperature_group_6,gamma_group_0,gamma_group_1,gamma_group_2,gamma_group_3,gamma_group_4,gamma_group_5,gamma_group_6,r2_group_0,r2_group_1,r2_group_2,r2_group_3,r2_group_4,r2_group_5,r2_group_6,inv_temperature_group_0,inv_temperature_group_1,inv_temperature_group_2,inv_temperature_group_3,inv_temperature_group_4,inv_temperature_group_5,inv_temperature_group_6,ln_gamma_group_0,ln_gamma_group_1,ln_gamma_group_2,ln_gamma_group_3,ln_gamma_group_4,ln_gamma_group_5,ln_gamma_group_6
"[179, 179, 179, 179]","[199, 199, 199]",,,,,,"[45820, 45821, 45822, 45823]","[49212, 49213, 49214]",,,,,,"[343.15, 353.15, 363.15, 373.15]","[313.15, 323.15, 333.15]",,,,,,"[5.35, 5.36, 5.38, 5.37]","[1.82, 1.96, 2.13]",,,,,,0.6578908126673982,0.9973865901041484,,,,,,"[0.002914177473408131, 0.002831657935721365, 0.002753683051080821, 0.0026798874447273215]","[0.003193357815743254, 0.0030945381401825778, 0.0030016509079994]",,,,,,"[1.6770965609079151, 1.6789639750827108, 1.682688374173693, 1.6808279085207734]","[0.598836501088704, 0.6729444732424258, 0.7561219797213337]",,,,,
"[179, 179, 179, 179]","[199, 199, 199]",,,,,,"[45824, 45825, 45826, 45827]","[49290, 49291, 49292]",,,,,,"[343.15, 353.15, 363.15, 373.15]","[313.15, 323.15, 333.15]",,,,,,"[76.7, 75.6, 74.7, 73.3]","[102.6, 97.6, 90.7]",,,,,,0.9875560525780948,0.984000282743828,,,,,,"[0.002914177473408131, 0.002831657935721365, 0.002753683051080821, 0.0026798874447273215]","[0.003193357815743254, 0.0030945381401825778, 0.0030016509079994]",,,,,,"[4.33990170837321, 4.3254562831854875, 4.3134800921387715, 4.294560608892605]","[4.630837932736669, 4.580877493419047, 4.507557357121091]",,,,,
"[204, 204, 204]","[180, 180, 180, 180]",,,,,,"[51222, 51223, 51224]","[45884, 45885, 45886, 45887]",,,,,,"[302.45, 322.35, 342.45]","[313.15, 333.15, 353.15, 373.15]",,,,,,"[1.87, 1.8, 1.74]","[1.6, 1.67, 1.773, 1.869]",,,,,,0.9999987427716284,0.9888701208438844,,,,,,"[0.003306331625061994, 0.0031022180859314407, 0.0029201343261790044]","[0.003193357815743254, 0.0030016509079994, 0.002831657935721365, 0.0026798874447273215]",,,,,,"[0.6259384308664954, 0.5877866649021191, 0.5538851132264376]","[0.47000362924573563, 0.5128236264286637, 0.5726730270920708, 0.6254035284734257]",,,,,
"[204, 204, 204]","[180, 180, 180, 180]",,,,,,"[51129, 51130, 51131]","[45900, 45901, 45902, 45903]",,,,,,"[302.45, 322.35, 342.45]","[313.15, 333.15, 353.15, 373.15]",,,,,,"[0.46, 0.46, 0.47]","[0.452, 0.472, 0.486, 0.51]",,,,,,0.720967770140563,0.986897709180378,,,,,,"[0.003306331625061994, 0.0031022180859314407, 0.0029201343261790044]","[0.003193357815743254, 0.0030016509079994, 0.002831657935721365, 0.0026798874447273215]",,,,,,"[-0.7765287894989963, -0.7765287894989963, -0.7550225842780328]","[-0.7940730991499059, -0.7507762933965817, -0.7215466550816433, -0.6733445532637656]",,,,,
"[204, 204, 204]","[180, 180, 180, 180]",,,,,,"[51144, 51145, 51146]","[45904, 45905, 45906, 45907]",,,,,,"[302.45, 322.35, 342.45]","[313.15, 333.15, 353.15, 373.15]",,,,,,"[0.28, 0.27, 0.23]","[0.321, 0.309, 0.324, 0.331]",,,,,,0.8611069610989743,0.3519660284012157,,,,,,"[0.003306331625061994, 0.0031022180859314407, 0.0029201343261790044]","[0.003193357815743254, 0.0030016509079994, 0.002831657935721365, 0.0026798874447273215]",,,,,,"[-1.2729656758128873, -1.3093333199837622, -1.4696759700589417]","[-1.1363141558521213, -1.1744140020843916, -1.1270117631898076, -1.1056369036050742]",,,,,
"[178, 178, 178, 178]","[207, 207, 207]",,,,,,"[45496, 45497, 45498, 45499]","[51957, 51958, 51959]",,,,,,"[303.35, 312.55, 322.55, 332.55]","[313.1, 333.1, 353.1]",,,,,,"[62.2, 53.5, 42.8, 55.4]","[35.6, 30.6, 28.8]",,,,,,0.231748197554709,0.957519541987486,,,,,,"[0.0032965221691115872, 0.003199488081906895, 0.003100294527980158, 0.0030070666065253344]","[0.0031938677738741613, 0.0030021014710297205, 0.0028320589068252617]",,,,,,"[4.130354999745133, 3.979681653901961, 3.756538102587751, 4.014579593753238]","[3.572345637857985, 3.4210000089583352, 3.3603753871419]",,,,,
"[92, 92, 92, 92]","[205, 205, 205]",,,,,,"[45112, 45113, 45114, 45115]","[51609, 51610, 51611]",,,,,,"[328.15, 338.15, 348.15, 358.15]","[312.75, 322.55, 332.55]",,,,,,"[15.0, 14.6, 14.3, 14.1]","[15.6, 15.3, 14.9]",,,,,,0.9872207762197198,0.9899121368414744,,,,,,"[0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664, 0.002792126204104426]","[0.0031974420463629096, 0.003100294527980158, 0.0030070666065253344]",,,,,,"[2.70805020110221, 2.681021528714291, 2.6602595372658615, 2.6461747973841225]","[2.747270914255491, 2.72785282839839, 2.7013612129514133]",,,,,
"[92, 92, 92, 92]","[205, 205, 205]",,,,,,"[45032, 45033, 45034, 45035]","[51267, 51268, 51269]",,,,,,"[328.15, 338.15, 348.15, 358.15]","[312.75, 322.55, 332.55]",,,,,,"[2.86, 2.68, 2.52, 2.38]","[2.89, 3.19, 2.46]",,,,,,0.9999892001640206,0.3655976263990569,,,,,,"[0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664, 0.002792126204104426]","[0.0031974420463629096, 0.003100294527980158, 0.0030070666065253344]",,,,,,"[1.0508216248317612, 0.9858167945227654, 0.9242589015233319, 0.8671004876833833]","[1.0612565021243408, 1.1600209167967532, 0.9001613499442714]",,,,,
"[92, 92, 92, 92]","[205, 205, 205]",,,,,,"[45036, 45037, 45038, 45039]","[51261, 51262, 51263]",,,,,,"[328.15, 338.15, 348.15, 358.15]","[312.75, 322.55, 332.55]",,,,,,"[2.04, 1.87, 1.72, 1.6]","[2.27, 2.13, 2.02]",,,,,,0.9996899136418989,0.9983460748765456,,,,,,"[0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664, 0.002792126204104426]","[0.0031974420463629096, 0.003100294527980158, 0.0030070666065253344]",,,,,,"[0.712949807856125, 0.6259384308664954, 0.5423242908253617, 0.47000362924573563]","[0.8197798314933114, 0.7561219797213337, 0.7030975114131134]",,,,,
"[92, 92, 92, 92]","[205, 205, 205]",,,,,,"[45040, 45041, 45042, 45043]","[51258, 51259, 51260]",,,,,,"[328.15, 338.15, 348.15, 358.15]","[312.75, 322.55, 332.55]",,,,,,"[1.75, 1.67, 1.6, 1.53]","[1.67, 1.92, 1.53]",,,,,,0.9995906218010856,0.1378492398358616,,,,,,"[0.0030473868657626088, 0.0029572674848440043, 0.002872325147206664, 0.002792126204104426]","[0.0031974420463629096, 0.003100294527980158, 0.0030070666065253344]",,,,,,"[0.5596157879354227, 0.5128236264286637, 0.47000362924573563, 0.4252677354043441]","[0.5128236264286637, 0.6523251860396901, 0.4252677354043441]",,,,,
